 item 		||		 fi(frequency) 		||		    Rf 		||		 Fi(cumulative freq.) 


   22		 || 		     4		 || 		0.00046552964577426046		 || 		    22
   46		 || 		     2		 || 		0.00097338016843709		 || 		    68
   47		 || 		     1		 || 		0.0009945406068813745		 || 		   115
   51		 || 		     3		 || 		0.0010791823606585127		 || 		   166
   71		 || 		     1		 || 		0.0015023911295442042		 || 		   237
   77		 || 		     1		 || 		0.0016293537602099116		 || 		   314
   79		 || 		     2		 || 		0.0016716746370984807		 || 		   393
   80		 || 		     1		 || 		0.0016928350755427651		 || 		   473
   91		 || 		     1		 || 		0.0019255998984298954		 || 		   564
   97		 || 		     1		 || 		0.002052562529095603		 || 		   661
   99		 || 		     1		 || 		0.002094883405984172		 || 		   760
  100		 || 		     1		 || 		0.0021160438444284566		 || 		   860
  103		 || 		     1		 || 		0.0021795251597613104		 || 		   963
  119		 || 		     2		 || 		0.0025180921748698634		 || 		  1082
  146		 || 		     1		 || 		0.0030894240128655466		 || 		  1228
  147		 || 		     1		 || 		0.003110584451309831		 || 		  1375
  154		 || 		     1		 || 		0.003258707520419823		 || 		  1529
  162		 || 		     2		 || 		0.0034279910279740996		 || 		  1691
  168		 || 		     1		 || 		0.003554953658639807		 || 		  1859
  193		 || 		     1		 || 		0.004083964619746921		 || 		  2052
  198		 || 		     1		 || 		0.004189766811968344		 || 		  2250
  225		 || 		     1		 || 		0.004761098649964027		 || 		  2475
  250		 || 		     1		 || 		0.005290109611071141		 || 		  2725
  251		 || 		     1		 || 		0.005311270049515426		 || 		  2976
  255		 || 		     1		 || 		0.005395911803292564		 || 		  3231
  269		 || 		     1		 || 		0.005692157941512548		 || 		  3500
  288		 || 		     1		 || 		0.006094206271953955		 || 		  3788
  317		 || 		     1		 || 		0.006707858986838207		 || 		  4105
  354		 || 		     1		 || 		0.007490795209276736		 || 		  4459
  355		 || 		     1		 || 		0.007511955647721021		 || 		  4814
  359		 || 		     1		 || 		0.0075965974014981594		 || 		  5173
  361		 || 		     1		 || 		0.007638918278386728		 || 		  5534
  362		 || 		     1		 || 		0.007660078716831013		 || 		  5896
  382		 || 		     1		 || 		0.008083287485716704		 || 		  6278
  384		 || 		     1		 || 		0.008125608362605273		 || 		  6662
  414		 || 		     1		 || 		0.00876042151593381		 || 		  7076
  429		 || 		     1		 || 		0.009077828092598078		 || 		  7505
  447		 || 		     1		 || 		0.0094587159845952		 || 		  7952
  450		 || 		     1		 || 		0.009522197299928054		 || 		  8402
  498		 || 		     1		 || 		0.010537898345253713		 || 		  8900
  503		 || 		     1		 || 		0.010643700537475136		 || 		  9403
  529		 || 		     1		 || 		0.011193871937026536		 || 		  9932
  535		 || 		     1		 || 		0.011320834567692242		 || 		 10467
  548		 || 		     1		 || 		0.011595920267467943		 || 		 11015
  553		 || 		     1		 || 		0.011701722459689364		 || 		 11568
  566		 || 		     1		 || 		0.011976808159465065		 || 		 12134
  569		 || 		     1		 || 		0.012040289474797917		 || 		 12703
  571		 || 		     1		 || 		0.012082610351686488		 || 		 13274
  587		 || 		     1		 || 		0.01242117736679504		 || 		 13861
  589		 || 		     1		 || 		0.01246349824368361		 || 		 14450
